"filename", "language", "Dart", "Markdown", "YAML", "Properties", "JSON", "Gradle", "Django HTML", "XML", "C++", "Swift", "Kotlin", "comment", "blank", "total"
"/Users/shinya/duovoc-flutter/android/gradle.properties", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"/Users/shinya/duovoc-flutter/android/gradle/wrapper/gradle-wrapper.properties", "Properties", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7
"/Users/shinya/duovoc-flutter/android/settings.gradle", "Gradle", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/shinya/duovoc-flutter/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 2, 14
"/Users/shinya/duovoc-flutter/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/shinya/duovoc-flutter/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/shinya/duovoc-flutter/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/shinya/duovoc-flutter/ios/Runner/Assets.xcassets/freeAppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/shinya/duovoc-flutter/ios/Runner/Assets.xcassets/freeLaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/shinya/duovoc-flutter/ios/Runner/Assets.xcassets/freeLaunchImage.imageset/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/shinya/duovoc-flutter/ios/Runner/Assets.xcassets/paidAppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 1, 123
"/Users/shinya/duovoc-flutter/ios/Runner/Assets.xcassets/paidLaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/shinya/duovoc-flutter/ios/Runner/Assets.xcassets/paidLaunchImage.imageset/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/Users/shinya/duovoc-flutter/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"/Users/shinya/duovoc-flutter/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"/Users/shinya/duovoc-flutter/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
